"","CELEX_number","casenumber","date_case","date_judgment","judge_rapporteur","JR_Country","judges","advocate_general","chamber","chamber_size","JR_Net_Observations","appointing_party_id","appointing_pm","current_pm","turnover","pm_turnover","eu_ideology","left_right","current_eu_ideology","current_left_right","diff_eu","diff_left_right","legalissue","year","infringement","annulment","failure_to_act","preliminary_reference","staff","CommIsDef","CommIsPl","GermanyPl","FrancePl","ItalyPl","BelgiumPl","LuxembourgPl","NetherlandsPl","United KingdomPl","IrelandPl","DenmarkPl","SpainPl","PortugalPl","GreecePl","AustriaPl","SwedenPl","FinlandPl","GermanyDef","FranceDef","ItalyDef","BelgiumDef","LuxembourgDef","NetherlandsDef","United KingdomDef","IrelandDef","DenmarkDef","SpainDef","PortugalDef","GreeceDef","AustriaDef","SwedenDef","FinlandDef","CommObsPl","CommObsDef","CJEU_Agree_Pl","govislit","netobs","AGforPl"
"1","61957CJ0017","17/57",1957-09-14,1959-02-04,"Rueff","France","Catalano, Delvaux, Donner, Hammes, Riese, Rossi, Rueff","Lagrange","Grand Chamber",7,0,401,"Mendes-France","Bourges-Maunoury",0,1,7.9361,3.9896,7.9361,3.9896,0,0,"Admissability of application for annulment",1959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","61958CJ0001","1/58",1958-01-04,1959-02-04,"Riese","Germany","Catalano, Delvaux, Donner, Hammes, Riese, Rossi, Rueff","Lagrange","Grand Chamber",7,0,1727,"Adenauer","Adenauer",0,0,8.5024,6.2503,8.5024,6.2503,0,0,"Was the high authority decision of 1956 regarding a disribution arrangement for coal in Germany dating from 1953 consistent with the obligations of the High Auhtority?",1965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","61958CJ0003","3/58",1958-03-15,1960-05-10,"Donner","Netherlands","Delvaux, Donner, Hammes, Riese, Rossi","Lagrange","No Chamber",5,0,742,"Drees","Drees",0,0,7.9904,3.6118,7.9904,3.6118,0,0,"Should the contested decisions of the High Authority be annulled?",1960,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","61958CJ0019","19/58",1958-03-17,1960-05-10,"Donner","Netherlands","Delvaux, Donner, Hammes, Riese, Rossi","Lagrange","No Chamber",5,0,742,"Drees","Drees",0,0,7.9904,3.6118,7.9904,3.6118,0,0,"Should sections III, IV and V of Dec T/10.202 of 12 Feb 1958 be annulled?",1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"5","61958CJ0024","24/58",1958-04-01,1960-07-15,"Rossi","Italy","Delvaux, Donner, Hammes, Riese, Rossi","Roemer","No Chamber",5,0,1633,"Zoli","Zoli",0,0,8.9667,5.6611,8.9667,5.6611,0,0,"Should the Court declare, in joined case 34/58, that the High Authority should have recommended introduction of a tariff of general application?",1960,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"6","61958CJ0024","24/58",1958-04-01,1960-07-15,"Rossi","Italy","Delvaux, Donner, Hammes, Riese, Rossi","Roemer","No Chamber",5,0,1633,"Zoli","Zoli",0,0,8.9667,5.6611,8.9667,5.6611,0,0,"Should the Court declare that the High Authority, by granting extensions of time, unlawfully authorized the retention of the Tariffs?",1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","61958CJ0024","24/58",1958-04-01,1960-07-15,"Rossi","Italy","Delvaux, Donner, Hammes, Riese, Rossi","Roemer","No Chamber",5,0,1633,"Zoli","Zoli",0,0,8.9667,5.6611,8.9667,5.6611,0,0,"Should the Court annul the decision of the High Authority regarding the application of Tariff AT 6 B 33(I)?",1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"8","61958CJ0027","27/58",1958-04-19,1960-05-10,"Rossi","Italy","Delvaux, Donner, Hammes, Riese, Rossi","Roemer","No Chamber",5,0,1633,"Zoli","Zoli",0,0,8.9667,5.6611,8.9667,5.6611,0,0,"Should the Court declare that the High Authority did not have the power to issue the contested decsision and that the decision is therefore void?",1960,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","61959CJ0003","3/59",1959-01-31,1960-03-08,"Donner","Netherlands","Catalano, Delvaux, Donner, Riese, Rossi","Lagrange","No Chamber",5,0,742,"Drees","Beel",1,1,7.9904,3.6118,7.7157,5.9473,0.2747,2.3355,"Should the decisions of the High Authority of 12/01/1958, ref No 35172, be annulled?",1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"10","61959CJ0004","4/59",1959-02-14,1960-04-04,"Hammes","Luxembourg","Catalano, Delvaux, Donner, Hammes, Riese","Roemer","No Chamber",5,0,1234,"Bech","Frieden",0,1,NA,6.4474,NA,6.4474,NA,0,"Should the individual decisions of the High Authority of 6 January 1959 be annulled?",1960,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
